Date,Open,High,Low,Close,Volume
2023-08-31,62.72,63.41,62.45,62.51,13840232
2023-09-01,63.13,63.65,62.7327,63.57,11715190
2023-09-05,63.38,64.18,63.035,63.74,12739127
2023-09-06,63.12,63.84,62.68,62.8,13621277
2023-09-07,62.0,62.09,61.12,61.65,12712690
2023-09-08,61.58,61.81,60.31,60.98,15373809
2023-09-11,61.73,62.26,61.27,61.93,12280056
2023-09-12,61.88,63.69,61.76,62.81,12224288
2023-09-13,62.81,63.32,62.165,62.84,9426567
2023-09-14,63.89,64.6,63.31,64.44,14564692
2023-09-15,64.66,65.73,63.91,64.21,21843532
2023-09-18,63.35,63.515,62.75,62.94,14049970
2023-09-19,62.1,62.42,61.4518,62.19,11446549
2023-09-20,62.56,62.62,60.83,60.86,11138922
2023-09-21,59.95,60.305,58.614,58.62,15360965
2023-09-22,59.02,59.19,57.835,57.88,12756724
2023-09-25,57.54,58.9,57.512,58.86,11493781
2023-09-26,58.3,59.225,58.23,58.93,11111926
2023-09-27,59.05,59.57,56.53,57.34,19170995
2023-09-28,57.41,58.46,57.02,58.18,11387580
2023-09-29,58.85,59.33,58.07,58.46,10550327
2023-10-02,58.62,59.64,58.005,58.56,12961469
2023-10-03,57.89,58.65,57.12,57.3,12013961
2023-10-04,58.11,58.655,57.31,58.57,11019567
2023-10-05,58.39,58.66,57.26,57.48,13037220
2023-10-06,56.83,58.2482,55.86,57.77,18348602
2023-10-09,56.995,58.09,56.3175,57.96,10376590
2023-10-10,57.96,58.5,57.41,57.72,17455196
2023-10-11,58.11,58.89,57.58,58.07,10866196
2023-10-12,58.09,58.105,56.24,56.355,13497056
2023-10-13,56.5,56.88,55.53,55.75,12064800
2023-10-16,56.11,57.08,55.81,57.0,14267715
2023-10-17,56.51,57.59,56.49,57.16,10325232
2023-10-18,56.53,57.0972,55.705,55.8,10514531
2023-10-19,55.66,56.4,54.7,54.81,16298546
2023-10-20,53.99,54.47,53.34,53.39,20982457
2023-10-23,52.92,54.125,52.65,53.45,13629381
2023-10-24,53.88,54.61,53.59,54.24,9733911
2023-10-25,52.55,52.78,51.23,51.49,22784062
2023-10-26,51.5,52.25,51.06,51.75,17045584
2023-10-27,51.51,51.67,50.25,50.39,18382714
2023-10-30,50.95,51.445,50.575,51.05,13168905
2023-10-31,51.09,51.89,50.8,51.8,12942524
2023-11-01,51.91,52.1985,51.095,51.66,25259740
2023-11-02,55.05,55.4297,52.55,55.06,35347996
2023-11-03,55.42,56.27,55.3784,56.1,18742123
2023-11-06,56.65,56.72,54.185,54.62,17246772
2023-11-07,54.44,55.04,54.05,54.63,13038537
2023-11-08,54.33,55.83,53.55,55.08,20518512
