Date,Open,High,Low,Close,Volume
2023-11-10,182.873,185.452,182.434,185.287,66575246
2023-11-13,184.712,184.919,183.111,183.697,43889453
2023-11-14,186.58,186.987,185.188,186.321,60469261
2023-11-15,186.724,188.369,186.659,186.888,54113450
2023-11-16,188.438,189.821,187.524,188.577,54739603
2023-11-17,189.116,189.243,187.446,188.557,51247250
2023-11-20,188.756,190.759,188.746,190.307,46818026
2023-11-21,190.267,190.377,188.607,189.502,38363439
2023-11-22,190.347,191.779,189.686,190.168,39867944
2023-11-24,189.731,189.761,188.121,188.836,24192727
2023-11-27,188.786,189.532,187.772,188.657,40796081
2023-11-28,188.647,189.94,188.271,189.263,38646060
2023-11-29,189.761,190.944,187.841,188.241,43272476
2023-11-30,188.707,189.185,187.066,188.816,49087321
2023-12-01,189.195,190.417,188.101,190.098,45979229
2023-12-04,188.846,188.916,186.332,188.301,43650024
2023-12-05,189.076,193.24,189.046,192.266,67028426
2023-12-06,193.289,193.598,190.963,191.172,41336434
2023-12-07,192.474,193.836,192.434,193.11,47762705
2023-12-08,193.041,194.82,192.514,194.542,53727003
2023-12-11,191.958,192.335,190.277,192.027,61309597
2023-12-12,191.928,193.558,190.577,193.548,53013285
2023-12-13,193.925,196.819,193.687,196.779,70826881
2023-12-14,196.839,198.429,194.99,196.928,67232820
2023-12-15,196.351,197.216,195.825,196.391,129310130
2023-12-18,194.92,195.456,193.23,194.721,56086588
2023-12-19,194.99,195.775,194.721,195.765,40958493
2023-12-20,195.725,196.501,193.667,193.667,52556474
2023-12-21,194.93,195.904,192.345,193.519,46761624
2023-12-22,194.015,194.244,191.818,192.444,37372611
2023-12-26,192.454,192.733,191.679,191.898,29092938
2023-12-27,191.342,192.345,189.949,191.998,48376393
2023-12-28,192.981,193.499,192.018,192.424,34254329
2023-12-29,192.743,193.24,190.581,191.382,42928346
2024-01-02,186.032,187.316,182.788,184.532,82983926
2024-01-03,183.121,184.771,182.335,183.151,58765173
2024-01-04,181.064,181.995,179.799,180.824,72415750
2024-01-05,180.904,181.669,179.094,180.099,62754180
2024-01-08,180.999,184.492,180.417,184.453,59499566
2024-01-09,182.823,184.046,181.639,184.036,43099026
2024-01-10,183.25,185.287,182.823,185.079,47073846
2024-01-11,185.427,185.934,182.524,184.482,49423369
2024-01-12,184.949,185.626,184.084,184.81,40720805
2024-01-16,181.074,183.161,179.853,182.534,65996913
2024-01-17,180.189,181.839,179.224,181.589,47601521
2024-01-18,184.979,188.011,184.722,187.504,78474091
2024-01-19,188.201,190.804,187.693,190.417,69316670
2024-01-22,191.152,194.165,191.113,192.733,60494888
2024-01-23,193.855,194.582,192.673,194.015,42609887
2024-01-24,194.254,195.208,193.18,193.339,53953311
2024-01-25,194.055,195.095,191.96,193.011,55151271
2024-01-26,193.11,193.598,190.794,191.272,44861748
2024-01-29,190.864,191.053,188.448,190.586,47428678
2024-01-30,189.801,190.656,186.351,186.917,56194742
2024-01-31,185.924,185.979,183.25,183.299,55800824
2024-02-01,182.888,185.834,182.723,185.745,65274972
2024-02-02,178.787,186.212,178.181,184.742,103167387
2024-02-05,187.026,188.121,184.732,186.561,70087103
2024-02-06,185.745,188.181,185.655,188.171,43751872
2024-02-07,189.502,189.911,187.486,188.281,53759796
2024-02-08,188.256,188.403,186.232,187.196,41207977
